City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kapaa,US,79.12,few clouds,22.0752,-159.319,
4,Arraial Do Cabo,BR,71.65,scattered clouds,-22.9661,-42.0278,
6,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,
12,Presidencia Roque Saenz Pena,AR,73.15,clear sky,-26.7852,-60.4388,
13,Pemangkat,ID,84.16,overcast clouds,1.1667,108.9667,
14,Busselton,AU,73.8,clear sky,-33.65,115.3333,
16,Basoko,CD,71.46,broken clouds,1.2391,23.616,
23,Lorengau,PG,80.73,moderate rain,-2.0226,147.2712,
24,Jalingo,NG,77.31,broken clouds,8.8833,11.3667,
27,Saint-Philippe,RE,78.22,scattered clouds,-21.3585,55.7679,
33,Port Blair,IN,83.62,broken clouds,11.6667,92.75,
34,Berbera,SO,76.37,clear sky,10.4396,45.0143,
39,Meulaboh,ID,80.74,overcast clouds,4.1363,96.1285,
41,Vaini,TO,82.56,broken clouds,-21.2,-175.2,
42,Hilo,US,75.25,overcast clouds,19.7297,-155.09,
44,Rikitea,PF,76.86,overcast clouds,-23.1203,-134.9692,
50,Fare,PF,81.1,scattered clouds,-16.7,-151.0167,
53,Hobart,AU,75.06,broken clouds,-42.8794,147.3294,
62,Bowen,AU,83.32,overcast clouds,-20.0167,148.2333,
64,Hithadhoo,MV,82.04,overcast clouds,-0.6,73.0833,
65,Ambanja,MG,75.24,scattered clouds,-13.6833,48.45,
70,Ballina,AU,73.78,overcast clouds,-28.8667,153.5667,
74,Butaritari,KI,82.18,overcast clouds,3.0707,172.7902,
77,Bandarbeyla,SO,81.23,overcast clouds,9.4942,50.8122,
82,Trelew,AR,71.64,scattered clouds,-43.249,-65.3051,
87,Palu,ID,86.83,broken clouds,-0.8917,119.8707,
89,America Dourada,BR,72.77,overcast clouds,-11.4553,-41.4361,
90,Labuhan,ID,85.51,light rain,-6.8844,112.2051,
91,Moranbah,AU,94.05,overcast clouds,-22.0016,148.0466,
96,Gaoual,GN,72.61,overcast clouds,11.75,-13.2,
97,Kiama,AU,75.25,light rain,-34.6833,150.8667,
99,Atuona,PF,77.65,broken clouds,-9.8,-139.0333,
102,Sandakan,MY,82.2,overcast clouds,5.8402,118.1179,
106,Mount Gambier,AU,75.27,broken clouds,-37.8333,140.7667,
108,Rio Verde De Mato Grosso,BR,77.43,moderate rain,-18.9181,-54.8442,
109,Conakry,GN,77.36,few clouds,9.538,-13.6773,
110,Hervey Bay,AU,86.04,overcast clouds,-25.2986,152.8535,
113,Bani,DO,74.64,overcast clouds,18.2833,-70.3333,
116,Andros Town,BS,73.38,clear sky,24.7,-77.7667,
117,Yulara,AU,73.24,broken clouds,-25.2406,130.9889,
121,Victoria,HK,70.25,clear sky,22.2855,114.1577,
124,Ternate,ID,85.14,overcast clouds,0.8,127.4,
128,Natal,BR,79.02,few clouds,-5.795,-35.2094,
130,Quatre Cocos,MU,79.09,few clouds,-20.2078,57.7625,
134,Mabaruma,GY,73.08,overcast clouds,8.2,-59.7833,
135,Alofi,NU,84.09,scattered clouds,-19.0595,-169.9187,
137,Sampit,ID,77.02,overcast clouds,-2.5333,112.95,
138,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,
142,Maragogi,BR,78.01,few clouds,-9.0122,-35.2225,
143,New Norfolk,AU,74.71,overcast clouds,-42.7826,147.0587,
145,Bengkulu,ID,78.73,overcast clouds,-3.8004,102.2655,
149,Mahebourg,MU,79.25,few clouds,-20.4081,57.7,
152,Tsiroanomandidy,MG,70.09,overcast clouds,-18.7667,46.0333,
154,San Luis,AR,72.95,scattered clouds,-33.295,-66.3356,
157,Petatlan,MX,74.86,scattered clouds,17.5167,-101.2667,
158,Mogadishu,SO,79.2,broken clouds,2.0371,45.3438,
159,Taoudenni,ML,76.57,overcast clouds,22.6783,-3.9836,
161,Vila Velha,BR,71.94,few clouds,-20.3297,-40.2925,
173,Oranjestad,AW,80.55,few clouds,12.524,-70.027,
174,Takoradi,GH,79.11,few clouds,4.8845,-1.7554,
175,Goure,NE,77.02,clear sky,13.9835,10.2704,
176,Cabo San Lucas,MX,75.61,few clouds,22.8909,-109.9124,
177,Sao Francisco,BR,73.36,light rain,-15.9486,-44.8644,
178,Sao Felix Do Xingu,BR,73.49,overcast clouds,-6.6447,-51.995,
180,Pailon,BO,80.62,overcast clouds,-17.65,-62.75,
182,Salinopolis,BR,79.56,overcast clouds,-0.6136,-47.3561,
183,Jiwani,PK,76.77,scattered clouds,25.05,61.7417,
188,Kavieng,PG,84.94,light rain,-2.5744,150.7967,
198,Daru,PG,87.78,few clouds,-9.0763,143.2092,
